loan_request_id,approved,total_importe,mes_compra,year,quarter,quarterpercentage,month,num_delinquencies,ever_delinquent,most_purchased_category,medio_pago,canal,riskclient,dias_entre_compras,delta_importe,promedio_cliente,temporada_alta_relativa,es_temporada_alta_real,promedio_temporada_alta,temporada_alta_ajustada,fecha_afiliacion,external_account_id
19,0,58945.37,3,2024,1,29.2839145363,3,1,True,tools_hardware,Loan,sucursal,1,7.0278487465,-152.2066401593,1269.03,1.1,1,1051.3,0.605128021051279,2021-05-06,100100645803.0
20,1,146265.5,8,2024,3,89.9351194651,8,1,True,furniture,Credit Card,sucursal,1,50.5769933593,-479.8004784999,1497.09,0.7,0,2195.0,0.379003078837085,2017-07-19,100100011587.0
21,0,60633.49,10,2024,4,25.3639677065,10,2,True,electronics,Cash,sucursal,1,197.2328336826,-312.2192705881,1215.52,1.5,1,998.54,0.353233478563464,2016-06-21,100100766086.0
22,1,84082.16,10,2024,4,0.4850227379,10,0,True,furniture,Credit Card,sucursal,0,43.5663655566,300.0667728916,1436.87,1.0,0,1238.47,0.363503400342208,2022-02-28,100100437713.0
23,1,56581.9,12,2024,4,86.7365941772,12,3,False,toys_games,Loan,sucursal,1,126.8890478637,361.1348305563,1696.97,1.3,0,505.22,0.092633895658919,2016-02-08,100100973289.0
24,1,16941.57,8,2024,3,82.268056685,8,1,True,sports_equipment,Loan,sucursal,1,152.7774729892,-6.6738265874,1817.62,1.5,1,1212.24,0.149462720282884,2019-01-14,100100370947.0
25,1,113145.81,4,2024,2,48.4892095557,4,2,False,clothing,Debit Card,sucursal,0,82.4438477532,253.1805657943,838.43,0.7,1,1006.21,0.610481611425386,2019-07-26,100100993408.0
26,1,106934.64,9,2024,3,71.8735559356,9,2,False,furniture,Debit Card,sucursal,1,161.2445099074,386.6428624504,343.73,0.5,0,1578.49,0.335772326592116,2016-05-05,100100514692.0
27,1,128792.36,9,2024,3,70.6208566532,9,0,True,health_beauty,Loan,sucursal,0,97.2027036412,-187.0557067745,941.06,0.6,0,659.08,0.041795661999894,2017-10-03,100100733121.0
28,0,69674.05,6,2024,2,39.3872349481,6,1,True,toys_games,Loan,sucursal,1,19.44895162,145.45671952,1011.69,0.8,1,725.91,0.308722445162487,2025-03-28,100100031882.0
29,1,68618.97,11,2024,4,65.1750144058,11,0,True,tools_hardware,Cash,sucursal,0,154.931805084,97.5917691317,1237.28,0.7,0,977.0,0.75891667932871,2020-02-14,100100538215.0
30,1,14146.85,5,2024,2,46.2834015256,5,0,True,office_supplies,Debit Card,sucursal,0,85.144509305,-457.9541372595,873.38,1.4,1,1271.58,0.148283705043322,2025-06-05,100100579285.0
31,1,84736.88,2,2024,1,7.4884862731,2,3,False,kitchen_dining,Loan,sucursal,1,80.5206950638,442.2275761274,356.05,0.6,1,1332.79,0.993349273979492,2022-09-20,100100362880.0
32,1,56067.21,4,2024,2,48.5233039633,4,4,False,sports_equipment,Credit Card,sucursal,1,187.3583846234,-93.7534908415,963.29,1.5,1,1530.77,0.114377336341323,2020-08-19,100100805003.0
33,1,97666.04,4,2024,2,40.4648694533,4,4,True,books_media,Debit Card,sucursal,1,33.7616750286,202.8617646455,1424.74,1.3,1,564.35,0.099126052485218,2024-05-10,100100831996.0
34,1,130477.05,11,2024,4,63.5660933911,11,4,True,furniture,Credit Card,sucursal,1,150.9341286871,383.0891568038,1975.52,0.6,1,1171.82,0.434597993728358,2021-12-04,100100169141.0
35,0,81647.49,9,2024,3,79.0456448635,9,4,True,kitchen_dining,Debit Card,sucursal,1,85.5986550571,-77.2251672061,1324.92,1.1,0,2051.39,0.584926440377596,2017-11-16,100100504557.0
36,0,162413.57,8,2024,3,87.7074384137,8,0,True,jewelry,Credit Card,sucursal,0,164.7241907507,-269.5528657278,1134.34,1.5,1,1794.82,0.398940126116189,2025-05-02,100100013284.0
37,1,108437.35,8,2025,3,97.8131524996,8,4,True,jewelry,Loan,sucursal,1,46.1938275611,448.798134248,1278.4,0.8,1,928.69,0.350408686387232,2022-10-17,100100977196.0
38,1,102793.39,9,2025,3,75.8751682582,9,1,True,kitchen_dining,Credit Card,sucursal,1,161.9694025553,279.2606069399,1966.22,0.5,1,841.13,0.330538240846069,2024-01-19,100100148999.0
39,0,199636.22,12,2024,4,94.8936231823,12,4,False,kitchen_dining,Credit Card,sucursal,1,176.0255130034,452.0830140888,1267.44,0.8,1,1706.91,0.683502933045443,2024-05-27,100100824152.0
40,1,78235.65,3,2025,1,21.3019414724,3,3,True,electronics,Credit Card,sucursal,1,69.4898758621,490.6821318366,322.6,0.8,1,1309.37,0.495463097666259,2018-01-13,100100782614.0
41,1,10855.39,2,2024,1,24.64262436,2,3,True,health_beauty,Cash,sucursal,1,63.643434736,-452.6688476548,1112.83,0.6,1,570.82,0.824059697584045,2024-11-16,100100000091.0
42,1,67344.19,11,2024,4,38.82983427,11,3,True,automotive_parts,Cash,sucursal,1,188.3486329292,-190.7964895352,341.32,1.1,0,1648.85,0.655654603932043,2017-09-18,100100199633.0
43,0,74010.51,11,2024,4,48.7090981653,11,1,False,tools_hardware,Credit Card,sucursal,1,105.4151935443,342.9140035015,677.73,1.2,0,2489.51,0.701674606171645,2022-03-02,100100137393.0
44,0,40464.21,2,2024,1,31.1112112855,2,0,False,home_appliances,Loan,sucursal,0,28.7716118179,-3.6648444053,293.12,1.3,0,1887.56,0.583166639878756,2023-08-25,100100669301.0
45,0,57799.5,3,2024,1,21.7977308881,3,2,True,musical_instruments,Loan,sucursal,1,172.6561338593,-374.1992731176,1534.76,1.1,0,367.9,0.168786019868914,2016-01-09,100100682909.0
46,0,133224.45,10,2024,4,28.7419279171,10,2,False,home_appliances,Credit Card,sucursal,1,168.0735170321,-111.5925481889,1412.65,1.4,1,914.87,0.745257402812665,2017-12-11,100100794475.0
47,0,130152.68,8,2024,3,68.7744121501,8,2,False,sports_equipment,Loan,sucursal,1,85.1220163428,-99.8770800383,1571.81,0.8,1,298.05,0.345755904644162,2017-03-07,100100117645.0
48,1,163369.7,12,2024,4,86.244604575,12,4,False,toys_games,Cash,sucursal,1,82.53365491,-400.4580824742,1510.59,0.6,0,1142.94,0.802707661314395,2021-09-20,100100402322.0
49,1,188917.83,11,2024,4,62.3998694465,11,3,False,sports_equipment,Cash,sucursal,1,3.6069088104,-496.9599967886,531.28,1.2,0,925.52,0.52875159418134,2025-01-22,100100677312.0
50,1,68528.32,5,2024,2,66.1628269777,5,1,True,automotive_parts,Debit Card,sucursal,0,17.8793118609,139.3317356762,1719.45,0.7,1,1326.95,0.095154592508471,2022-09-15,100100332468.0
51,1,144451.88,12,2024,4,99.4733429232,12,0,True,books_media,Cash,sucursal,0,190.2471901372,-152.4976506141,572.95,0.8,1,623.66,0.099420637960485,2018-06-22,100100697780.0
52,1,87550.11,4,2024,2,48.0055022317,4,3,False,electronics,Cash,sucursal,1,44.5673870447,58.742520532,1778.61,0.9,1,1697.3,0.929378617221052,2019-07-12,100100435230.0
53,1,100484.05,10,2024,4,6.0625040668,10,1,True,clothing,Cash,sucursal,1,177.5984495581,305.0544516644,1730.64,0.8,1,282.82,0.753520588148369,2020-10-11,100100125343.0
54,1,101853.6,12,2024,4,94.8700190321,12,0,True,kitchen_dining,Debit Card,sucursal,0,32.3835273613,-230.7548083511,1456.31,1.1,0,1129.94,0.621692387513809,2018-05-13,100100136851.0
55,0,58477.22,9,2024,3,76.0127963733,9,3,True,home_appliances,Debit Card,sucursal,1,141.4660256527,-100.4838839132,1609.78,1.3,0,787.52,0.367772641776522,2023-06-01,100100441034.0
56,1,89467.03,9,2025,3,97.0534491964,9,1,False,musical_instruments,Credit Card,sucursal,1,24.8213098925,-228.7817635764,1034.38,0.7,1,1066.58,0.989391693724962,2019-11-19,100100259283.0
57,1,49513.55,3,2024,1,6.6408438489,3,3,True,books_media,Credit Card,sucursal,1,32.7892280119,-402.8581539729,1459.72,0.7,1,1559.65,0.933985878924222,2025-04-12,100100443707.0
58,1,7150.48,8,2024,3,82.2279080759,8,1,True,toys_games,Debit Card,sucursal,1,119.9934507928,-8.72246403,594.15,0.9,0,2030.09,0.265280713154402,2019-05-07,100100010641.0
59,1,122109.2,12,2024,4,86.6947320072,12,2,True,sports_equipment,Debit Card,sucursal,1,59.1941210633,-472.7268158191,685.27,1.3,1,1135.55,0.817131630948867,2018-08-15,100100409870.0
60,1,30529.31,5,2024,2,47.2126473958,5,1,True,musical_instruments,Credit Card,sucursal,1,13.0701893614,-99.6210566385,1154.7,0.9,1,1541.75,0.734471858547869,2025-09-07,100100354628.0
61,0,84959.74,11,2024,4,33.820409753,11,4,True,musical_instruments,Loan,sucursal,1,48.1298049716,402.3058639567,1683.73,0.7,0,1240.03,0.129077748845604,2016-05-25,100100920834.0
62,0,181512.0,12,2024,4,73.7388146132,12,3,True,clothing,Loan,sucursal,1,148.0833475434,-415.9999941728,1946.86,1.2,0,440.1,0.409628485509091,2021-02-21,100100020604.0
63,1,65622.39,9,2024,3,69.7095275583,9,0,True,toys_games,Debit Card,sucursal,0,156.6979744003,-413.0687750885,1856.77,1.0,0,1900.74,0.958023882571616,2024-04-24,100100893645.0
64,1,121999.16,7,2024,3,67.9552926472,7,4,False,jewelry,Credit Card,sucursal,1,79.4524589146,-329.0608742715,1613.32,1.4,1,982.54,0.183904318270717,2017-09-14,100100520454.0
65,1,105109.54,11,2024,4,44.2302740243,11,2,False,office_supplies,Credit Card,sucursal,1,198.9945208628,-342.0322455284,1388.19,0.7,0,968.3,0.37036323227733,2023-03-03,100100148388.0
66,1,94206.73,11,2024,4,44.261343289,11,0,True,garden_outdoor,Loan,sucursal,0,18.2999693469,-375.6899815941,486.94,1.1,0,424.94,0.359452908255811,2021-09-25,100100665581.0
67,1,43903.21,2,2024,1,10.1543565161,2,1,False,electronics,Debit Card,sucursal,1,20.0674135303,233.5164269123,1832.53,0.7,1,1514.02,0.575691146539842,2017-04-01,100100615355.0
68,1,157694.56,10,2024,4,8.863967426,10,4,False,automotive_parts,Loan,sucursal,1,110.6323066556,-236.2317901252,346.12,1.5,0,611.99,0.135810813991492,2021-03-09,100100871104.0
69,1,12102.53,4,2024,2,55.9351853147,4,0,True,home_appliances,Debit Card,sucursal,0,120.3889738138,428.2105262873,1604.83,1.1,0,970.61,0.384312252403905,2021-06-11,100100631760.0
70,1,36970.95,5,2024,2,53.2855984811,5,0,False,electronics,Credit Card,sucursal,0,123.3384776097,123.3841966979,958.79,1.1,1,1202.33,0.295509924389168,2021-07-22,100100080009.0
71,0,116522.68,9,2024,3,86.5508076047,9,3,True,garden_outdoor,Credit Card,sucursal,1,26.9057815095,338.206065074,1252.56,0.7,1,1246.16,0.362324245160185,2021-11-15,100100757396.0
72,1,40583.65,11,2024,4,41.7697334529,11,2,True,furniture,Cash,sucursal,1,82.6128697906,-89.5821658892,1835.18,0.6,1,2131.24,0.053715150965347,2025-07-06,100100707013.0
73,0,14213.51,3,2024,1,29.9850847742,3,1,True,sports_equipment,Credit Card,sucursal,1,135.9602510573,26.1452175082,1610.97,1.2,0,1072.04,0.049862283806219,2017-07-25,100100653488.0
74,1,30982.79,4,2024,2,40.8935558772,4,0,True,clothing,Credit Card,sucursal,0,65.9592223712,24.7146923018,1146.87,0.9,1,2115.17,0.126903849627181,2016-03-09,100100657164.0
75,1,135547.63,8,2024,3,98.2323555243,8,4,True,clothing,Cash,sucursal,1,43.7933549667,-0.3744544342,1157.98,1.1,0,776.68,0.857880239151121,2020-07-21,100100342332.0
76,1,19727.05,6,2024,2,41.94231298,6,1,True,clothing,Debit Card,sucursal,1,61.774503448,-394.1988756777,364.89,1.3,1,1665.32,0.309156570077473,2017-05-15,100100149628.0
77,0,43895.55,7,2024,3,90.1538598122,7,1,True,automotive_parts,Cash,sucursal,1,192.7434038235,-281.9281564941,1887.64,0.8,0,1943.26,0.441729295655696,2020-12-06,100100561278.0
78,1,41035.4,10,2024,4,24.7611720843,10,3,True,furniture,Debit Card,sucursal,1,87.3426579002,82.4255211142,233.86,1.4,1,1175.08,0.509803028846909,2025-02-16,100100522970.0
79,1,143449.15,7,2024,3,74.4617500489,7,3,True,clothing,Credit Card,sucursal,1,91.6860437885,169.9628540608,506.92,0.5,1,575.25,0.59692334287497,2021-12-19,100100390299.0
80,1,69186.25,10,2024,4,17.5357798813,10,1,True,sports_equipment,Loan,sucursal,1,168.2481665353,389.3715283592,228.58,1.2,1,805.67,0.678475684494616,2019-09-13,100100729765.0
81,1,64917.49,1,2024,1,21.2159826359,1,2,True,automotive_parts,Cash,sucursal,1,166.99947354,-40.394702793,647.69,0.7,1,2486.55,0.249344970696613,2024-08-06,100100566197.0
82,0,15562.85,11,2024,4,38.1035830556,11,2,True,health_beauty,Credit Card,sucursal,1,152.7870621716,-88.3741793331,1902.79,1.3,1,369.8,0.064152121931451,2018-06-16,100100886499.0
83,1,58239.72,12,2024,4,92.6289585949,12,1,False,office_supplies,Credit Card,sucursal,1,9.2640003284,170.9010177718,474.37,1.4,1,556.07,0.481886846341547,2016-07-19,100100895163.0
84,1,15711.94,12,2024,4,71.1660238099,12,4,True,clothing,Debit Card,sucursal,1,172.3100156263,-386.0164013568,1211.71,1.1,1,584.55,0.97416852432134,2023-12-27,100100935505.0
85,1,156688.47,9,2024,3,71.8157230434,9,0,True,office_supplies,Debit Card,sucursal,0,74.7789638542,469.5703341495,1198.52,1.2,1,347.73,0.179962787791139,2023-12-21,100100905522.0
86,1,112931.62,11,2024,4,52.6808028537,11,0,False,books_media,Credit Card,sucursal,0,91.2598348166,-199.8383281774,517.8,0.9,1,1386.68,0.025512310372171,2017-01-20,100100059858.0
87,1,171418.52,12,2024,4,81.0962102687,12,0,True,books_media,Cash,sucursal,0,28.6792711254,-274.4209766237,1425.11,1.5,0,1445.42,0.912039480452697,2025-02-13,100100499335.0
88,0,31739.67,9,2025,3,83.7333833938,9,1,True,garden_outdoor,Debit Card,sucursal,1,190.4018689451,438.7205040007,539.1,1.4,0,1440.77,0.985354198305709,2018-03-12,100100701070.0
89,1,22732.28,6,2024,2,63.8140958463,6,4,True,electronics,Loan,sucursal,1,141.7726802954,-181.4865729471,426.46,0.7,0,2085.48,0.664559563510037,2020-01-13,100100337746.0
90,1,16365.44,4,2024,2,41.7079293005,4,0,True,health_beauty,Debit Card,sucursal,0,150.004054908,53.5817915006,1838.89,1.3,0,432.54,0.213872365394118,2025-09-04,100100945008.0
91,1,37378.21,7,2024,3,74.9965696577,7,2,True,tools_hardware,Debit Card,sucursal,1,10.3537969734,-242.8728330304,1150.16,0.5,0,545.6,0.037853487867025,2017-02-05,100100465208.0
92,0,154277.27,7,2024,3,79.6002394026,7,4,True,electronics,Credit Card,sucursal,1,176.1406876356,148.5272643488,438.74,0.6,1,1673.03,0.532099583007485,2023-07-17,100100702020.0
93,0,131497.26,9,2024,3,76.9239054394,9,0,True,electronics,Cash,sucursal,0,103.5464063117,157.6084816048,1791.89,1.3,1,1062.31,0.08211445480978,2016-02-15,100100619516.0
94,0,93791.86,5,2025,2,52.7886968397,5,4,True,home_appliances,Loan,sucursal,1,141.0499399383,-259.4671026638,1249.97,1.1,1,1128.78,0.884781214569146,2024-01-08,100100222256.0
95,1,113446.49,6,2024,2,46.6320576409,6,3,True,automotive_parts,Debit Card,sucursal,1,156.3944997299,-243.0614862895,955.04,1.3,0,2404.0,0.80126879294803,2018-10-05,100100183761.0
96,0,64830.12,9,2024,3,81.3818842783,9,3,True,electronics,Credit Card,sucursal,1,188.9751375181,171.5447104205,624.21,1.2,1,1603.18,0.291035524843196,2019-02-13,100100625881.0
97,1,59836.73,10,2025,4,19.6446437458,10,2,True,tools_hardware,Cash,sucursal,0,113.1295991244,-382.1263164489,706.87,0.6,1,786.34,0.430312643487563,2019-03-08,100100100194.0
98,1,69305.28,1,2024,1,16.7155649527,1,1,True,home_appliances,Loan,sucursal,1,158.1640387079,-133.5218043964,502.58,0.9,0,1492.09,0.955438687063458,2020-11-07,100100117956.0
99,1,146971.9,12,2025,4,81.6723553583,12,2,True,books_media,Debit Card,sucursal,0,129.6584287837,58.5956554607,1917.82,1.5,0,675.11,0.345256772741332,2020-09-19,100100391404.0
100,0,106952.06,11,2024,4,40.5164072693,11,3,True,electronics,Credit Card,sucursal,1,130.2989150688,-447.1994424374,332.31,0.7,1,1632.39,0.958712559240696,2016-12-01,100100900488.0
101,1,79586.44,4,2024,2,57.9473667798,4,3,False,furniture,Cash,sucursal,1,130.3912205184,-254.1416749051,504.03,1.4,1,1596.4,0.008460459967222,2022-05-18,100100453849.0
102,1,116481.55,10,2024,4,28.6500364072,10,3,True,clothing,Credit Card,sucursal,1,0.1641376287,144.0978509761,1820.69,0.7,0,811.19,0.555776172949973,2021-05-12,100100207078.0
103,1,93669.25,8,2024,3,94.6086761004,8,4,True,furniture,Loan,sucursal,1,168.0663036911,164.8156878339,1622.38,1.5,1,980.18,0.750159283734616,2018-05-19,100100343322.0
104,1,102968.23,7,2024,3,95.5522139757,7,4,False,electronics,Debit Card,sucursal,1,44.0117203629,271.7675529015,212.23,0.6,1,2357.46,0.09344487006252,2023-02-24,100100902313.0
105,0,182123.3,12,2024,4,99.743556993,12,1,True,sports_equipment,Loan,sucursal,1,57.1642606748,152.0400267617,438.73,1.2,1,1249.2,0.578539864502619,2024-06-06,100100652561.0
106,1,1013.2,10,2024,4,31.7320630749,10,2,True,books_media,Debit Card,sucursal,1,40.1385802694,181.9974174459,370.13,1.2,0,1503.59,0.595545171448162,2022-01-24,100100463162.0
107,1,94306.63,7,2024,3,73.0212003301,7,1,False,kitchen_dining,Loan,sucursal,1,78.8778965109,-437.213798344,803.88,1.3,0,438.94,0.385338179383417,2022-06-07,100100340257.0
108,1,85978.03,1,2024,1,24.4945848142,1,2,False,tools_hardware,Credit Card,sucursal,0,171.0098170609,55.4260678154,1236.83,0.6,0,1779.09,0.386106185989794,2019-09-27,100100761012.0
109,0,18780.67,9,2024,3,93.659987426,9,1,True,electronics,Credit Card,sucursal,1,91.0328065676,460.5260571384,1229.99,0.8,1,2058.41,0.208936355553837,2023-06-12,100100167035.0
110,1,2635.21,9,2024,3,87.9664196876,9,0,True,electronics,Cash,sucursal,0,112.5294738442,300.9960598603,626.48,1.3,1,232.88,0.960047949112688,2016-06-17,100100381344.0
111,1,27958.47,10,2024,4,30.7519603418,10,1,False,sports_equipment,Debit Card,sucursal,1,104.6647799587,-291.3052562068,368.66,1.0,1,240.83,0.46028431188021,2025-12-08,100100547010.0
112,0,1952.2,3,2024,1,20.3441024365,3,2,False,electronics,Loan,sucursal,1,97.3603856143,321.3206671637,1165.32,1.5,0,1022.19,0.662549341439754,2023-02-12,100100734249.0
113,0,108333.48,6,2024,2,65.4968294307,6,0,True,musical_instruments,Credit Card,sucursal,0,74.1313155055,463.5781775306,1137.52,0.7,0,877.34,0.479004434257734,2023-04-16,100100994533.0
114,0,83394.07,6,2024,2,56.3274901477,6,0,True,garden_outdoor,Credit Card,sucursal,0,178.0711651779,270.0053663809,1879.77,0.9,0,1361.82,0.499960333163611,2021-04-02,100100721153.0
115,1,84342.75,7,2024,3,85.0909638281,7,4,True,musical_instruments,Cash,sucursal,1,0.1481846599,455.8630697355,1083.45,1.4,0,473.87,0.225107659941558,2025-01-08,100100557178.0
116,1,15825.1,9,2024,3,88.1824367505,9,1,True,musical_instruments,Credit Card,sucursal,1,108.6418268949,-157.0415199893,563.68,1.2,1,2469.81,0.877501233360592,2021-11-11,100100001779.0
117,0,56896.18,4,2024,2,59.3867534696,4,1,False,home_appliances,Loan,sucursal,1,143.3746506168,170.1397612837,1764.8,1.4,1,1034.94,0.477173419807614,2020-11-11,100100276750.0
118,1,158194.55,9,2025,3,77.3506874328,9,2,True,books_media,Cash,sucursal,1,60.5706883802,-463.253957152,500.64,0.7,1,562.84,0.946401497080043,2016-04-11,100100523512.0
119,1,56950.95,9,2025,3,95.8195697239,9,2,True,kitchen_dining,Credit Card,sucursal,0,176.8076875148,483.9955383451,1541.73,0.6,0,2258.43,0.682152886107101,2019-10-01,100100403479.0
120,1,115950.76,7,2024,3,91.1841190223,7,3,True,automotive_parts,Loan,sucursal,1,113.7488274609,-121.0067313442,593.47,0.7,1,1801.1,0.733422490209048,2025-10-12,100100506397.0
121,1,179007.62,12,2024,4,92.9339759803,12,0,True,garden_outdoor,Cash,sucursal,0,144.4218021237,245.2332300446,1478.02,1.4,1,2475.52,0.457209506347948,2019-05-24,100100794794.0
122,1,128665.12,9,2024,3,96.2457008838,9,0,True,health_beauty,Loan,sucursal,0,25.6370910578,-476.0879435285,1135.68,1.0,0,2127.08,0.736798133545908,2017-04-06,100100781446.0
123,0,57447.63,2,2024,1,20.9528164321,2,4,False,automotive_parts,Debit Card,sucursal,1,19.9334316678,215.4411262844,1787.07,1.3,0,1405.95,0.84054863661104,2021-07-12,100100418602.0
124,1,157201.04,8,2024,3,77.6490919977,8,4,True,jewelry,Loan,sucursal,1,86.3673008932,-214.811681358,1225.29,0.5,1,2044.98,0.269917633324895,2020-12-25,100100686890.0
125,1,79172.32,1,2024,1,24.2718887602,1,0,True,clothing,Loan,sucursal,0,5.1311841578,237.3871337548,1220.15,1.2,0,1213.84,0.284083557249762,2016-01-21,100100285141.0
126,1,58039.29,10,2024,4,25.9505143317,10,4,True,health_beauty,Credit Card,sucursal,1,28.8957627215,-333.3521848149,381.07,1.1,1,466.77,0.481751980528986,2017-09-07,100100599818.0
127,1,98169.89,8,2024,3,70.0073963637,8,0,True,furniture,Credit Card,sucursal,0,1.0339208754,112.8865875616,1779.36,1.2,0,1434.47,0.843998496800595,2019-04-21,100100793756.0
128,1,81359.92,5,2024,2,35.4036446458,5,1,True,automotive_parts,Credit Card,sucursal,1,88.9788187152,136.3622483708,1533.83,1.0,1,1634.77,0.680121883068499,2023-08-20,100100218216.0
129,0,91641.88,12,2024,4,84.527461933,12,2,False,garden_outdoor,Loan,sucursal,1,61.7080496234,414.7669917255,790.9,1.5,1,1476.06,0.790349917219863,2018-02-22,100100005905.0
130,0,168756.15,9,2024,3,95.5938554002,9,3,True,clothing,Cash,sucursal,1,56.8912778482,300.2912128326,1999.86,0.7,1,765.35,0.541119625365518,2023-05-18,100100755381.0
131,1,70425.06,12,2024,4,69.6651047798,12,0,True,furniture,Loan,sucursal,0,193.2703757313,-224.7182268922,205.47,1.5,1,1119.05,0.806389985282423,2018-05-20,100100705164.0
132,1,113201.76,4,2024,2,54.2773912758,4,1,True,automotive_parts,Loan,sucursal,1,57.2577619045,-249.4911421955,1594.54,0.8,0,1352.93,0.483851949748982,2020-02-26,100100087441.0
133,0,43602.05,11,2024,4,42.1267046253,11,4,True,clothing,Loan,sucursal,1,151.8115603007,180.7977341962,680.42,1.4,1,2316.09,0.819854677475044,2022-04-21,100100012575.0
134,0,90538.09,3,2024,1,4.2914241331,3,2,True,toys_games,Debit Card,sucursal,1,39.6343064538,-341.2786384445,981.12,0.6,0,326.25,0.488849460057185,2021-05-25,100100231791.0
135,1,10466.22,10,2024,4,32.7230046221,10,0,False,clothing,Cash,sucursal,0,135.3304754459,-130.2744725464,1146.42,1.0,1,1126.93,0.925490503638744,2017-06-05,100100000119.0
136,1,34825.38,10,2024,4,17.9129483432,10,0,True,toys_games,Cash,sucursal,0,140.6507814956,-204.2939332542,993.86,0.8,1,1298.21,0.12973114642336,2023-11-05,100100564509.0
137,1,56825.69,3,2024,1,11.1103155509,3,1,False,musical_instruments,Cash,sucursal,1,75.4108463839,14.6394702833,749.95,1.1,0,839.46,0.737252829844779,2018-01-04,100100125318.0
138,1,7381.54,8,2024,3,94.3005231098,8,0,True,furniture,Credit Card,sucursal,0,45.7553214614,-219.1932083531,1420.74,0.7,1,1490.24,0.312333882661628,2020-01-23,100100563917.0
139,1,8242.15,2,2024,1,7.1535463645,2,4,False,sports_equipment,Credit Card,sucursal,1,2.1647928538,-464.152191632,1107.83,0.8,1,2432.38,0.350132601111723,2017-06-28,100100517537.0
